test,question1,question2,date
Many jobs require ongoing training and research to stay competitive in a world with rapidly evolving information and technology. Some believe that it is the responsibility of businesses to pay for this training for their staff while others feel it is up to the individual.,Discuss both views and give your own opinion.,NULL,Reported on IELTS December 7th
There is too much noise in many public places in cities.,What are the causes of this problem?,What can be done to solve the problem?,Reported on IELTS December 2nd
"Nowadays, a lot of offices employ open-space designs instead of separate rooms for work.",Do the advantages of this outweigh the disadvantages?,NULL,Reported on IELTS November 30th
Scientific research should be carried out and controlled by the governments rather than private companies.,To what extent do you agree or disagree?,NULL,Reported on IELTS November 29th
Some people think that children should begin their formal education at a very early age. Others think they should begin after 7 years of age. ,Discuss both views and give your own opinion.,NULL,Reported on IELTS November 17th
"Many believe that it is important to protect all wild animals, while others think that it is important to protect some, not all of them.",Discuss both views and give your opinion.,NULL,Reported on IELTS November 9th
Recent research suggests that the majority of criminals who are sent to prison commit crimes after they are released. ,Why is this the case?,What can be done to solve this problem?,Reported on IELTS November 3rd
The tendency of human beings to copy one another is shown in the popularity of areas such as fashion and consumer goods.,To what extent do you agree?,NULL,Reported on IELTS November 1st
"Many claim that the fast food industry had a negative effect on the environment, eating habits, and families.",To what extend do you agree or disagree?,NULL,Reported on IELTS October 28th
Film stars and celebrities often share their views on public matters that have little to do with their profession.,Is this a positive or negative development?,NULL,Reported on IELTS October 15th
Some people say that it is possible to tell a lot about a person’s culture and character from their choice of clothes.,Do you agree or disagree?,NULL,Reported on IELTS October 21st
Many young people today know more about international pop or movie stars than about famous people in the history of their own country.,Why is this?,What can be done to increase young people’s interest in famous people in the history of their country?,Reported on IELTS October 18th
There are different methods businesses use to increase their sales.,What are the different ways companies use to increase sales?,Which one is the most effective?,Reported on IELTS October 16th
"Because many children are not able to learn foreign languages, schools should not force them to learn foreign languages.",To what extent do you agree or disagree?,NULL,Reported on IELTS October 11th
Governments should make people responsible for looking after their own local environment.,Do you agree or disagree?,NULL,Reported on IELTS October 8th
Some claim that men are naturally more competitive than women.,To what extent do you agree or disagree?,NULL,Reported on IELTS October 4th
"Some people think that newspapers are the best way to learn about current events. However, others believe that they can learn news better through other media.",Discuss both views and give your opinion.,NULL,Reported on IELTS October 3rd
Shopping habits depend more on your age group than anything else.,To what extent do you agree or disagree?,NULL,Reported on IELTS September 30th
"Smoking is a major cause of serious illness and death throughout the world today. In the interest of the public health, governments should ban cigarettes and other tobacco products.",To what extent do you agree or disagree?,NULL,Reported on IELTS September 29th
The world should have only one government rather than a national government for each country.,Do the advantages of this outweigh the disadvantages?,NULL,Reported on IELTS September 26th
"Some people think personal happiness is directly related to economic success, while others believe this depends on other factors.",Discuss both sides and give your own opinion.,NULL,Reported on IELTS September 24th
Movies and computer games containing violence are popular. Some people say they have a negative effect on society and should be censored. Others say they are just harmless relaxation.,Discuss both these views and give your own opinion.,NULL,Reported on IELTS September 23rd
Some people say that individuals who make a lot of money are the most successful. Others think that those who contribute to society like scientists and teachers are more successful.,Discuss both sides and give your own opinion.,NULL,Reported on IELTS September 19th
"In today’s world of advanced science and technology, many still greatly value artists such as musicians, painters and writers. ",What can the arts tell us about life that science cannot?,NULL,Reported on IELTS September 16th
"In many countries, people now wear western-style dress such as suits and jeans rather than traditional clothing.",Why is this?,Is this a positive or negative development?,Reported on IELTS September 11th
Many adults nowadays prefer spending their free time playing computer games. ,Why do they do this? ,Is this a positive or negative development?,Reported on IELTS September 6th
Some countries are considering imposing curfews in which teenagers will not be allowed outdoors at night unless they are accompanied by an adult.,To what extent do you agree or disagree with this policy?,NULL,Reported on IELTS September 4th
Crime rates will fall as advances in technology make it easier to detect and prevent crimes.,To what extent do you agree or disagree?,NULL,Reported on IELTS September 2nd
"In many situations, people who break the law should be warned instead of punished.",To what extent do you agree or disagree?,NULL,Reported on IELTS August 30th
"Some people think employers should not care about the way their employees dress, but the quality at work. ",To what extent you agree or disagree?,NULL,Reported on IELTS August 27th
"Some people focus on news in their own country, while others think it is more important to be aware of international news.",Discuss both views and give your opinion.,NULL,Reported on IELTS August 25
Some people think that governments should give financial support to creative artists such as painters and musicians. Others believe that artists should be funded by alternative sources.,Discuss both views and give your own opinion.,NULL,Reported on IELTS August 22nd
"Some people think that because children find subjects such as mathematics and philosophy difficult, they ought to be optional instead of compulsory. ",To what extent do you agree?,NULL,Reported on August 17th
"Some people think children should have the freedom to make mistakes, while other people believe that adults should prevent children from making mistakes. ",Discuss both sides and give your opinion.,NULL,Reported on IELTS August 13th
Globalization is positive for economies but its negative sides should not be ignored.,To what extent do you agree or disagree?,NULL,Reported on IELTS August 10th
"Although more and more people read news on the Internet, newspapers will remain the most important source of news for the majority of people.",To what extent do you agree or disagree?,NULL,Reported on IELTS August 7th
Some believe children should be taught to give speeches and presentations in school. ,Why is this?,Should this be taught in schools?,Reported on IELTS August 2nd
Many students find it difficult to focus or pay attention at school nowadays.,What are the reasons for this?,What can be done to solve this problem?,Reported on IELTS August 1st
"In many countries, the number of animals and plants is declining.",Why do you think this is happening?,How can this issue be solved?,Reported on IELTS July 29th
Some people think that individuals today are more dependent on each other. Others believe people have become more independent.,Discuss both views and give your own opinion.,NULL,Reported on IELTS July 26th
Some people think that there should be a complete ban on all forms of advertising.,To what extent do you agree or disagree?,NULL,Reported on IELTS July 24th
"Some feel governments, rather than private companies, should be in charge of medical services.",To what extent do you agree or disagree?,NULL,Reported on IELTS July 22nd
Large companies use sports events to promote their products. Some people think this has a negative impact on sports.,To what extent do you agree or disagree?,NULL,Reported on IELTS July 18th
"People these days watch TV, films and other programmes alone rather than with other people.",Do the advantages of this development outweigh the disadvantages?,NULL,Reported on IELTS July 13th
Some feel that schools should be mixed with both girls and boys attending while others feel the genders ought to be separated.,Discuss both views and give your own opinion.,NULL,Reported on IELTS July 11th
Some believe that people should make efforts to fight climate change while others think it is better to learn to live with it.,Discuss both views and give your own opinion.,NULL,Reported on IELTS July 9th
"It is a natural process for animal species to become extinct (e.g. dinosaurs, dodos, etc.). There is no reason why people should try to prevent this from happening.",Do you agree or disagree?,NULL,Reported on IELTS July 5th
"In many countries, crimes rates amongst younger people has been rising.",Discuss the causes and solutions for this problem.,NULL,Reported on IELTS July 2nd
Convenience foods will become increasingly prevalent and eventually replace traditional foods and methods of preparation. ,To what extent do you agree or disagree?,NULL,Reported on IELTS June 30th
Some people think that sports play an important role in society. Others think they are nothing more than a leisure activity.,Discuss both views and give your opinion.,NULL,Reported on IELTS June 27th
"In their advertising, businesses nowadays usually emphasise that their products are new in some way.",Why is this? Do you think it is a positive or negative development?,NULL,New IELTS Cambridge 16 Past Tests Book
People nowadays tend to have children at older ages. ,Do the advantages of this outweigh the disadvantages?,NULL,Reported on IELTS on June 13th
Some people think that children under 18 years old should receive full-time education. ,To what extent do you agree or disagree?,NULL,Reported on IELTS June 10th
Some people today prefer to get advice for medical problems and do not want to visit a doctor.,Why is this?,Is this a positive or a negative development?,Reported on IELTS June 6th
Traditional ideas from older people about the way to live and behave are not helpful to young people and their futures.,To what extent do you agree or disagree?,NULL,Reported on IELTS June 3rd
Large companies should pay higher salaries to CEOs and executives compared to other workers.,To what extent do you agree or disagree?,NULL,Reported on IELTS June 1st
"In recent times, economic growth has helped many become richer, both in developed and developing countries. However, those in developed countries are not as happy as they were in the past. ",Why is this?,What can be learned from this?,Reported on IELTS May 30th
"Some feel governments should invest in preserving minority languages, while others feel this is not a good use of resources.",Discuss both views and give your own opinion.,NULL,Reported on IELTS May 28th
Many believe that living in a city offers greater benefits compared to life in the countryside.,To what extent do you agree or disagree?,NULL,Reported on IELTS May 25th
Some claim that studying abroad has great benefits for a student’s home country. ,To what extent do you agree or disagree?,NULL,Reported on IELTS May 23rd
Some countries have introduced laws to limit working hours for employees. ,Why are these laws introduced? ,Do you think they are a positive or negative development?,Reported on IELTS May 21st
"If a product is good and meets customer needs, then people will buy it and advertising is unnecessary.",To what extent do you agree or disagree?,NULL,Reported on IELTS May 18th
Competition for university study is becoming increasingly strong. ,Why are universities becoming more competitive?,Is this a positive or negative development?,Reported on IELTS May 14th
Nowadays the differences between countries are becoming less evident because people follow the same media.,Do the advantages of this trend outweigh the disadvantages?,NULL,Reported on IELTS May 13th
It is impossible to help all people around the world in need so governments should focus on people from their own country. ,To what extent do you agree or disagree?,NULL,Reported on IELTS May 11th
Some people think that the best way to increase road safety is to increase the minimum legal age for driving cars and riding motorbikes.,To what extent do you agree or disagree?,NULL,Reported on IELTS May 9th
Childhood obesity has become a serious problem in recent years.,What are the primary causes of this?,What measures should be taken to reduce childhood obesity?,Reported on IELTS May 6th
Museums and art galleries should show local history and culture instead of work from different countries. ,Discuss both views and give opinion.,NULL,Reported on IELTS May 5th
Nowadays more and more older people who need employment have to compete with younger people for the same jobs.,What problems does this cause? ,What are the solutions?,Reported on IELTS May 3rd
Today different types of robots are being developed which can serve as companions and workers to help at work and at home. ,Is this a positive or negative development?,NULL,Reported on IELTS April 28th
"Despite the benefits for health, fewer people today than ever before exercise by walking.",Why is this?,What can be done to encourage more walking?,Reported on IELTS April 27th
The growth of multinational companies and the resulting rise of globalization creates positive effects for all. ,To what extent do you agree or disagree?,NULL,Reported on IELTS April 26th
Many students find it difficult to pay attention at school.,What are the reasons for this? ,What could be done to solve this problem?,Reported on IELTS April 24th
"It is now possible for scientists and tourists to travel to remote natural environments, such as the South Pole.",Do the advantages of this development outweigh the disadvantages?,NULL,Reported on IELTS April 19th
Some people think young people should follow the traditions of their society. Others think that they should be free to behave as individuals.,Discuss both views and give your opinion.,NULL,Reported on IELTS April 18th
Some people say it is more important to plant trees in the open spaces in towns and cities than to build more housing. ,To what extant do you agree or disagree?,NULL,Reported on IELTS April 14th
Some people think that famous people can help international aid organizations to draw attention to important problems. Others believe that the celebrities can make the problems seem less important.,Discuss both views and give your opinion.,NULL,Reported on IELTS April 9th
More and more people no longer read newspapers or watch TV programmes to get their news and instead read online.,Is this a positive or negative development?,NULL,Reported on IELTS April 7th
Some believe it is important for cities and towns to invest heavily in building large outdoor public spaces.,To what extent do you agree or disagree?,NULL,Reported on IELTS April 1st
"Many people put their personal information online (address, telephone number, and so on) for purposes such as signing up for social networks or online banking.",Is this a positive or negative development?,NULL,Reported on IELTS March 22nd
Some people think that governments should spend more money on sports facilities for top athletes. others argue that this money should be spent for sports facilities for ordinary people.,Discuss both sides and give your own opinion.,NULL,Reported on IELTS March 16th
Some countries import a large amount of food from other parts of the world. ,To what extent is this a positive or negative trend?,NULL,Reported on IELTS March 14th
"Some believe that more action should be taken to prevent crime, while others feel that crime is being tackled effectively now.",Discuss both sides and give your own opinion.,NULL,Reported on IELTS March 2nd
Nowadays many people travel to foreign countries for pleasure. Some believe this travel has a negative impact on the countries travelled to.,To what extent do you agree or disagree?,NULL,Reported on IELTS February 17th
"Some believe that the Olympic games help bring people from different nations together, while others claim that holding the Olympics wastes money which could be used for important issues.",Discuss both sides and give your own opinion.,NULL,Reported on IELTS February 15th
"Some people believe the purpose of education should be helping the individual to become useful for society, while others believe it should help individuals to achieve their ambitions.",Discuss both sides and give your opinion.,NULL,Reported on IELTS February 8th
Some people think students should study the science of food and how to prepare it. Others think students should spend time on important subjects.,Discuss both views and give your own opinion.,NULL,Reported on IELTS February 6th
Some people say that all popular TV entertainment programmes should aim to educate viewers about important social issues. ,To what extent do you agree or disagree with this statement?,NULL,Reported on IELTS January 29th
"To succeed in a business, one needs to know maths.",To what extent do you agree or disagree?,NULL,Reported on IELTS January 15th
"Some feel that the effects of advertising are positive for individuals and businesses, while others think they are negative.",Discuss both sides and give your own opinion.,NULL,Reported on IELTS January 6th
Around the world more and more people today are living in urban areas.,Why is this?,What problems does this cause?,Reported on IELTS December 25th
"In some countries, there are fewer young people who listen to or play classical music these days.",Why is this? ,Should young people be encouraged to play or perform classical music?,Reported on IELTS December 24th
Computer games are very popular for all ages and nationalities. Parents think this has little educational value and it will be harmful for children.,To what extent do you agree or disagree?,NULL,Reported on IELTS December 15th
Some think that climate change reforms will negatively affect business. Others feel they are an opportunity for businesses.,Discuss both sides and give your own opinion.,NULL,Reported on IELTS December 11th
"The first man to walk on the moon claimed it was a step forward for mankind. However, it has made little difference in most people’s lives.",To what extent do you agree or disagree?,NULL,Reported on IELTS December 4th
Many people living in cities these days do not get enough physical exercise.,What are the causes of this?,NULL,Reported on IELTS November 30th
One of the most important issues facing the world today is a shortage of food and some think genetically modified foods are a possible solution.,To what extent do you agree or disagree?,NULL,Reported on IELTS November 24th
Society is based on rules and laws. It could not function if�individuals were free to do whatever they wanted to do.,To what extent do you agree or disagree?,,Reported on IELTS November 23rd
Some people think that the most important function of music is to help people relax.,To what extent do you agree or disagree?,NULL,Reported on IELTS November 18th
"Computers today can quickly and accurately translate languages, therefore, it is a waste of time to learn a foreign language.",To what extent do you agree or disagree?,NULL,
Some think that it is more important for children to engage in outdoor activities instead of playing videogames.,To what extent to you agree or disagree?,NULL,Reported on IELTS November 12th
Whether or not a person achieves their aims in life is mostly related to luck.,To what extent do you agree or disagree?,NULL,Reported on IELTS November 10th
"Some people think that it is a waste of time for high school students to study literature, such as novels and poems.",To what extent do you agree or disagree?,NULL,Reported on IELTS November 3rd
Nowadays people live longer after they retire. ,How does this affect individuals and society? ,What can be done about this?,Reported on IELTS October 30th
Parents should take courses in parenting in order to improve the lives of their children.,To what extent do you agree?,NULL,
Many educational institutions give greater importance to subjects related to science and ignore subjects such as drama and literature. ,Why is this?,Is this a positive or negative development?,Reported on IELTS October 24th
The personal information of many individuals is held by large internet companies and organisations.,Do you think the advantages of this outweigh the disadvantages?,NULL,Reported on IELTS October 22nd
Some think scientists should be allowed to send messages into space to communicate with other life forms while others believe this is too dangerous.,Discuss both sides and give your own opinion.,NULL,Reported on IELTS October 20th
The amount of drinkable water for people is decreasing.,Why is this?,What can be done?,
It is sometimes suggested that primary schoolchildren should learn how to grow vegetables and keep animals.,Do you think that the advantages of this outweigh the disadvantages?,NULL,Reported on IELTS October 16th
Some feel executives in large companies should receive high salaries while others think they are paid too much compared to ordinary workers. ,Discuss both views and give your own opinion.,NULL,Reported on IELTS October 13th
Some people believe that the experiences children have before they go to school will have the greatest effect on their future life. Others argue that experiences gained when they are teenagers have a bigger influence. ,Discuss both views and give your own opinions.,NULL,Reported on IELTS October 11th
"Studies show that crime rates are lower among those with educational degrees. Therefore, the best way to reduce the crime rate is to educate criminals while they are still in prison. ",To what extent do you agree or disagree?,NULL,Reported on IELTS October 7th
Some believe that advances in technology are increasing the gap between rich and poor while others think the opposite is happening.,Discuss both sides and give your own opinion.,NULL,
"In the past, knowledge was contained in books. Nowadays, knowledge is uploaded to the internet.",Do the advantages of this outweigh the disadvantages?,NULL,Reported on IELTS October 4th
The internet means people do not need to travel to foreign countries to understand how others live. ,To what extent do you agree or disagree?,NULL,Reported on IELTS September 30th
"In the past, most people worked for small businesses, while more people now work for large businesses.",What are the advantages and disadvantages of working for large businesses?,NULL,Reported on IELTS September 29th
Getting promotions are one of the biggest motivators for hard work in the modern workplace. ,What other factors motivate people to work hard?,NULL,Reported on IELTS September 14th
Some countries invest in specialized sports facilities for top athletes but not for the average people.,Is this a positive or negative development?,NULL,Reported on IELTS September 24th
"In many countries, plastic containers have become more common than ever and are used by many food and drink companies.",Do you think the advantages outweigh the disadvantages?,NULL,Reported on IELTS September 21st
Some think the current generation should take steps to protect the environment for the next generation.,To what extent do you agree or disagree?,NULL,Reported on IELTS September 16th
"In many workplaces, online communication is now more common than face-to-face meetings.",Do the advantages of this trend outweigh the disadvantages?,NULL,Reported on IELTS September 14th
"In many countries, traditional foods are being replaced by fast food. This has a negative impact on families, individuals and society. ",To what extent do you agree or disagree?,NULL,Reported on IELTS September 10th
Some educators believe that every child should be taught how to play a musical instrument. ,To what extent do you agree or disagree?,NULL,Reported on IELTS September 9th
Some people believe that the government should spend more money putting in more works of art like paintings and statues in cities to make them better places to live in. ,To what extent do you agree or disagree?,NULL,Reported on IELTS September 5th
"When a person spends most of his or her time working a job with little job satisfaction, their life loses meaning. ",To what extent do you agree or disagree? ,NULL,Reported on IELTS September 3rd
Historical objects should be brought back to their country of origin. ,To what extent do you agree or disagree?,NULL,Reported on September 1st
These days more fathers stay at home and take care of their children while mothers go out to work. ,What could be the reasons for this? Is it a positive or negative development?,NULL,Reported on IELTS August 29th
Some people say that supermarkets and manufacturers have a responsibility to reduce the amount of packaging on products they sell. Others believe that it is the consumer’s responsibility to avoid buying products which have a lot of packaging. ,Discuss both views and give your opinions.,NULL,Reported on IELTS August 25th
"Many companies sponsor sports as a way of advertising themselves. Some people think this is good for the world of sport, while others think it is a negative. ",Discuss both views and give your own opinion. ,NULL,Reported on IELTS August 23rd
"Some people believe that there should be a fixed punishment for each type of crime. Others, however, argue that the circumstances of an individual crime, and the motivation for committing it, should always be taken into account when deciding on the punishment.",Discuss both sides and give your own opinion.,NULL,
"In some places, young people find it difficult to communicate with older people. ",Why is this? ,What are the solutions?,Reported on IELTS August 19th
"Many people think technological devices such as smart phones, tablets and mobile phones bring more disadvantages than advantages.",To what extent do you agree or disagree?,NULL,Reported on IELTS August 18th
"Many researchers believe that we can now study the behaviour of children to see if they will grow up to be criminals, while others disagree. ",To what extent do you think crime is determined by genetics? ,Is it possible to stop children from growing up to be criminals? ,Reported on IELTS August 16th
"It is better for children if the whole family including aunts, uncles and so on are involved in a child’s upbringing, rather than just their parents.",To what extent do you agree or disagree?,NULL,Reported on IELTS August 14th
The government should lower the budget on the arts in order to allocate more money to education. ,To what extent do you agree? ,NULL,Reported on IELTS August 13th
Some people think governments should care more about elderly while others think they should focus on investing in education for younger people.,Discuss both views and give your own opinion.,NULL,Reported on IELTS August 11th
Governments in many countries have recently introduced special taxes on foods and beverages with high levels of sugar. Some think these taxes are a good idea while others disagree. ,Discuss both views and give you own opinion.,NULL,Reported on IELTS August 10th
The manufacturing and use of cars damages the environment but their popularity is increasing.,Why is this?,How could this be controlled?,Reported on IELTS August 8th
"In many countries, people throw away a lot of food from restaurants and shops.",Why do you think people waste food in this way?,What can be done to reduce the amount of food thrown away?,Reported on IELTS August 6th
The global demand for oil and gas is increasing. Some believe that we should therefore encourage the exploitation of remote areas.,Do the advantages of this outweigh the disadvantages? ,NULL,Reported on IELTS August 5th
Many today feel that most urgent problems can only be solved by international cooperation.,To what extent do you agree or disagree?,NULL,Reported on IELTS August 4th
"In many countries, fast food is becoming cheaper and more widely available.",Do the disadvantages of this outweigh the advantages?,NULL,Reported on IELTS August 3rd
"Nations should spend more money on skills and vocational training for practical work, rather than on university education.",To what extent do you agree or disagree?,NULL,Reported on IELTS July 24th
Some people believe that children that commit crimes should be punished. Others think the parents should be punished instead.,Discuss both views and give your own opinion.,NULL,Reported on IELTS July 22nd
"Although families have influence on a children’s development, factors outside the home play a bigger part in their lives nowadays. ",To what extent do you agree or disagree? ,NULL,Reported on IELTS July 20th
Some believe that it is beneficial to show foreign films while others feel this can have a negative impact on local culture.,Discuss both views and give your own opinion.,NULL,Reported on IELTS July 18th
Some scientists believe that in the future computers will be more intelligence than human beings. While some see this as a positive development others worry about the negative consequences.,Discuss both views and give your opinion.,NULL,Reported on IELTS July 17th
It is better to learn the way people lived in the past through films and video records than written documents.,To what extent do you agree or disagree?,NULL,Reported on IELTS July 15th
"Many people think that mobile phones should be banned in public places such as libraries, shops and public transport. ",Do you agree or disagree?,NULL,Reported on IELTS July 10th
Some think that students must travel to another country in order to learn its language and customs. ,To what extent do you agree or disagree?,NULL,Reported on IELTS July 10th
"In some cultures, children are often told that they can achieve anything if they try hard enough.",What are the advantages and disadvantages of giving children this message?,NULL,IELTS Cambridge 15 (July)
Some people say that advertising is extremely successful at persuading us to buy things. Other people think that advertising is so common that we no longer pay attention to it.,Discuss both these views and give your own opinion.,NULL,IELTS Cambridge 15 (July)
"In the future, nobody will buy printed newspapers or books because they will be able to read everything they want online without paying.",To what extent do you agree or disagree with this statement?,NULL,IELTS Cambridge 15 (July)
"In some countries, owning a home rather than renting one is very important for people.",Why might this be the case?,Do you think this is a positive or negative situation?,IELTS Cambridge 15 (July)
Full-time university students spend a lot of time studying. Some say they should do other activities too. ,To what extent do you agree or disagree?,NULL,Reported on IELTS June 30th
"Some people think that resources should be spent on protecting wild animals, while others think those would be better used for the human population.",Discuss both sides and give your own opinion.,NULL,Reported on IELTS June 25th
Some cities create housing for growing populations by building taller buildings while other cities have opted to build on wider areas of land. ,Which solution is better?,NULL,Reported on IELTS June 23rd
Some feel that countries should produce most of the food that is eaten in their country and import as little as possible.,To what extent do you agree or disagree?,NULL,Reported on IELTS June 19th
"When cars and cyclists use the same roads, there are often problems. ",Why is this the case? ,What are the solutions? ,Reported on IELTS June 16th
Some old people today struggle with the use of modern technologies such as smartphones and computers.,What is the cause of this?,What are some possible solutions?,Reported on IELTS June 11th
"In the future, people may have to live on other planets. Some think that is therefore important to spend money researching other planets such as Mars.",To what extent do you agree or disagree?,NULL,Reported on IELTS June 8th
Research into medical treatments are essential to improve health and fight disease. ,"Who do you think should fund this research: individuals, private companies or governments?",NULL,Reported on IELTS June 6th
